        X             RHO          U          P            E    
   0.2875E-01   0.1000E+01   0.9160E-16   0.1000E+01   0.1500E+01
   0.2925E-01   0.1000E+01   0.9162E-16   0.1000E+01   0.1500E+01
   0.2975E-01   0.1000E+01   0.9129E-16   0.1000E+01   0.1500E+01
   0.3025E-01   0.1000E+01   0.9146E-16   0.1000E+01   0.1500E+01
   0.3075E-01   0.1000E+01   0.9159E-16   0.1000E+01   0.1500E+01
   0.3125E-01   0.1000E+01   0.9160E-16   0.1000E+01   0.1500E+01
   0.3175E-01   0.1000E+01   0.9132E-16   0.1000E+01   0.1500E+01
   0.3225E-01   0.1000E+01   0.9512E-16   0.1000E+01   0.1500E+01
   0.3275E-01   0.1000E+01   0.1795E-15   0.1000E+01   0.1500E+01
   0.3325E-01   0.1000E+01   0.9150E-16   0.1000E+01   0.1500E+01
   0.3375E-01   0.1000E+01   0.9118E-16   0.1000E+01   0.1500E+01
   0.3425E-01   0.1000E+01   0.9155E-16   0.1000E+01   0.1500E+01
   0.3475E-01   0.1000E+01   0.9174E-16   0.1000E+01   0.1500E+01
   0.3525E-01   0.1000E+01   0.9161E-16   0.1000E+01   0.1500E+01
   0.3575E-01   0.1000E+01   0.9112E-16   0.1000E+01   0.1500E+01
   0.3625E-01   0.1000E+01   0.9152E-16   0.1000E+01   0.1500E+01
   0.3675E-01   0.1000E+01   0.9177E-16   0.1000E+01   0.1500E+01
   0.3725E-01   0.1000E+01   0.9163E-16   0.1000E+01   0.1500E+01
   0.3775E-01   0.1000E+01   0.9121E-16   0.1000E+01   0.1500E+01
   0.3825E-01   0.1000E+01   0.9150E-16   0.1000E+01   0.1500E+01
   0.3875E-01   0.1000E+01   0.9172E-16   0.1000E+01   0.1500E+01
   0.3925E-01   0.1000E+01   0.9165E-16   0.1000E+01   0.1500E+01
   0.3975E-01   0.1000E+01   0.9130E-16   0.1000E+01   0.1500E+01
   0.4025E-01   0.1000E+01   0.9141E-16   0.1000E+01   0.1500E+01
   0.4075E-01   0.1000E+01   0.9161E-16   0.1000E+01   0.1500E+01
   0.4125E-01   0.1000E+01   0.9167E-16   0.1000E+01   0.1500E+01
   0.4175E-01   0.1000E+01   0.9136E-16   0.1000E+01   0.1500E+01
   0.4225E-01   0.1000E+01   0.9131E-16   0.1000E+01   0.1500E+01
   0.4275E-01   0.1000E+01   0.9161E-16   0.1000E+01   0.1500E+01
   0.4325E-01   0.1000E+01   0.9168E-16   0.1000E+01   0.1500E+01
   0.4375E-01   0.1000E+01   0.9141E-16   0.1000E+01   0.1500E+01
   0.4425E-01   0.1000E+01   0.9125E-16   0.1000E+01   0.1500E+01
   0.4475E-01   0.1000E+01   0.9158E-16   0.1000E+01   0.1500E+01
   0.4525E-01   0.1000E+01   0.9170E-16   0.1000E+01   0.1500E+01
   0.4575E-01   0.1000E+01   0.9151E-16   0.1000E+01   0.1500E+01
   0.4625E-01   0.1000E+01   0.9487E-16   0.1000E+01   0.1500E+01
   0.4675E-01   0.1000E+01   0.1795E-15   0.1000E+01   0.1500E+01
   0.4725E-01   0.1000E+01   0.9164E-16   0.1000E+01   0.1500E+01
   0.4775E-01   0.1000E+01   0.9144E-16   0.1000E+01   0.1500E+01
   0.4825E-01   0.1000E+01   0.9497E-16   0.1000E+01   0.1500E+01
   0.4875E-01   0.1000E+01   0.1796E-15   0.1000E+01   0.1500E+01
   0.4925E-01   0.1000E+01   0.9537E-16   0.1000E+01   0.1500E+01
   0.4975E-01   0.1000E+01   0.1791E-15   0.1000E+01   0.1500E+01
   0.5025E-01   0.1000E+01   0.9141E-16   0.1000E+01   0.1500E+01
   0.5075E-01   0.1000E+01   0.9158E-16   0.1000E+01   0.1500E+01
   0.5125E-01   0.1000E+01   0.9189E-16   0.1000E+01   0.1500E+01
   0.5175E-01   0.1000E+01   0.9116E-16   0.1000E+01   0.1500E+01
   0.5225E-01   0.1000E+01   0.9159E-16   0.1000E+01   0.1500E+01
   0.5275E-01   0.1000E+01   0.9136E-16   0.1000E+01   0.1500E+01
   0.5325E-01   0.1000E+01   0.9182E-16   0.1000E+01   0.1500E+01
   0.5375E-01   0.1000E+01   0.9120E-16   0.1000E+01   0.1500E+01
   0.5425E-01   0.1000E+01   0.9161E-16   0.1000E+01   0.1500E+01
   0.5475E-01   0.1000E+01   0.9126E-16   0.1000E+01   0.1500E+01
   0.5525E-01   0.1000E+01   0.9186E-16   0.1000E+01   0.1500E+01
   0.5575E-01   0.1000E+01   0.9125E-16   0.1000E+01   0.1500E+01
   0.5625E-01   0.1000E+01   0.9158E-16   0.1000E+01   0.1500E+01
   0.5675E-01   0.1000E+01   0.9124E-16   0.1000E+01   0.1500E+01
   0.5725E-01   0.1000E+01   0.9182E-16   0.1000E+01   0.1500E+01
   0.5775E-01   0.1000E+01   0.9140E-16   0.1000E+01   0.1500E+01
   0.5825E-01   0.1000E+01   0.9154E-16   0.1000E+01   0.1500E+01
   0.5875E-01   0.1000E+01   0.9122E-16   0.1000E+01   0.1500E+01
   0.5925E-01   0.1000E+01   0.9175E-16   0.1000E+01   0.1500E+01
   0.5975E-01   0.1000E+01   0.9161E-16   0.1000E+01   0.1500E+01
   0.6025E-01   0.1000E+01   0.9514E-16   0.1000E+01   0.1500E+01
   0.6075E-01   0.1000E+01   0.1792E-15   0.1000E+01   0.1500E+01
   0.6125E-01   0.1000E+01   0.9157E-16   0.1000E+01   0.1500E+01
   0.6175E-01   0.1000E+01   0.9168E-16   0.1000E+01   0.1500E+01
