        X             RHO          U          P            E    
   0.8825E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8875E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8925E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.8975E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9025E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9075E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9125E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9175E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9225E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9275E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9325E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9375E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9425E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9475E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9525E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9575E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9625E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9675E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9725E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9775E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9825E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9875E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9925E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.9975E-01   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1003E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1008E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1013E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1018E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1023E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1028E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1033E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1038E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1043E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1047E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1052E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1057E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1062E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1067E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1072E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1077E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1082E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1087E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1092E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1098E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1103E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1108E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1113E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1118E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1123E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1128E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1133E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1138E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1143E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1148E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1153E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1158E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1163E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1168E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1173E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1178E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1183E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1188E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1193E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1197E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1202E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1207E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1212E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1217E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1222E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1227E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1232E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1237E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1242E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1247E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1253E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1258E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1263E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1268E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1273E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
   0.1278E+00   0.1000E+01   0.0000E+00   0.1000E+01   0.2500E+01
